season,player_display_name,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed
2006,Edgerrin James,16,337,1159.0,6,3.0,3.0,59.0,-43.833775591144864,38,38,178.0,9.0,5.523634723271243,0.13380281690140844,167.6,2.0,-0.2569685575246048,0.5717768457717237,1.4480042413632808,2009.0
2006,Shaun Alexander,12,302,1073.0,9,5.0,3.0,72.0,-37.13189607471953,13,13,61.0,3.0,2.396444404090289,0.07738095238095238,161.3,0.73,-0.8492455818065625,-0.1726747483475929,-0.0795870795870795,2008.0
2006,Rudi Johnson,16,341,1308.0,12,6.0,2.0,67.0,-25.43086178220154,23,23,112.0,4.0,3.6971658206894062,0.07590759075907591,211.20000000000002,1.1,-0.6910588609725039,0.0442127239548852,0.9060939060939064,2008.0
2006,Travis Henry,14,270,1211.0,7,3.0,1.0,48.0,-21.090947200065926,18,18,77.0,2.0,-2.774525014217943,0.11920529801324503,170.9,4.5,0.8808998163700539,2.0372327397073864,2.230553867671596,2007.0
2006,LaDainian Tomlinson,17,372,1938.0,30,2.0,1.0,88.0,46.214546876753,58,58,550.0,23.0,45.36101494560717,0.19269102990033224,455.8,5.958333,1.7207344034525902,2.892081815775737,6.5170646999991035,2009.0
2006,Clinton Portis,8,127,523.0,7,0.0,0.0,29.0,3.242291829842008,17,17,179.0,5.0,4.2502876660634925,0.12878787878787878,111.3,7.686667,2.1249499335029185,3.905200714571497,18.45299234099234,2008.0
2006,Adrian Peterson,7,10,41.0,2,0.0,0.0,5.0,3.502969392064204,6,6,56.0,2.0,8.096826698165387,0.07228915662650602,24.900000000000002,14.213333,6.348600588183935,7.731017177551294,94.68751798872997,2011.0
2006,Willis McGahee,14,259,990.0,6,4.0,2.0,48.0,-25.951188464674352,18,18,204.0,4.0,4.238295509421732,0.09836065573770492,146.6,5.731429,1.5465768729810994,2.759074694112706,3.220975221148545,2007.0
2006,Willie Parker,16,337,1494.0,13,6.0,4.0,70.0,-16.61406361944497,31,31,256.0,12.0,10.151564484607661,0.12653061224489795,257.6,0.85,-0.7554713189349077,-0.102332865438681,1.5865139698604,2010.0
2006,Jason Wright,8,62,189.0,0,1.0,1.0,8.0,-21.56752911539179,6,6,87.0,2.0,6.3042982715705875,0.058823529411764705,25.1,0.952,-1.0370525762209837,-0.042542264966106,-0.623053577123205,2007.0
2006,Steven Jackson,16,346,1528.0,13,2.0,1.0,74.0,-1.2707823276258932,90,90,615.0,31.0,30.282349884191504,0.25,325.40000000000003,8.6195,2.5237655912212897,4.452010961734572,20.93806193806194,2008.0
2006,Michael Turner,14,83,526.0,3,0.0,0.0,26.0,17.875005163647714,3,3,43.0,2.0,2.9298032613587566,0.06666666666666667,75.3,2.35,-0.2813317631312793,0.7769406709227165,0.5013385333117251,2007.0
2006,Cedric Benson,18,195,751.0,7,1.0,1.0,41.0,-8.129103717343085,11,11,92.0,3.0,4.516832848545164,0.08396946564885496,122.9,0.52,-0.939027234171839,-0.2957730434381885,-0.6390276390276388,2008.0
2006,Frank Gore,16,313,1695.0,8,6.0,6.0,68.0,-25.13160215629737,61,61,449.0,21.0,35.524714136030525,0.23552123552123552,260.0,6.89425,2.175166309031016,3.44069984932957,4.1562161068767685,2007.0
