,season,player_display_name,games,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed,predicted_smoothed_salary
174,2023,Olamide Zaccheaus,12,11,21,169.0,2,52.0,7.0,10.86868091649376,0.0558510638297872,28.9,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,0.7458086617906894
173,2023,Cody Thompson,1,1,1,10.0,0,4.0,0.0,0.412861474789679,0.0384615384615384,1.0,0.985,-0.045405678589883,-0.0762635056030579,0.4578313253012048,2024.0,-0.20486556302898282
172,2023,Mecole Hardman,10,20,31,186.0,1,124.0,10.0,-3.9300454265475833,0.0945121951219512,24.4,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,0.28362268031676635
171,2023,Keelan Doss,2,6,13,33.0,0,14.0,1.0,-3.0227712826710764,0.1585365853658536,3.3,1.055,0.0113986475307304,-0.0500046218465489,0.6265060240963854,2024.0,2.459238402112629
170,2023,D.J. Montgomery,2,3,8,56.0,1,28.0,3.0,-6.787304247147404,0.1290322580645161,11.6,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,0.6029648991417209
169,2023,Steven Sims,3,3,3,25.0,0,27.0,1.0,1.036577990045771,0.0416666666666666,8.6,1.325,0.2305010482816685,0.0512796440714146,1.27710843373494,2024.0,-0.12201824839552472
168,2023,KhaDarel Hodge,13,14,23,232.0,0,83.0,13.0,5.243100800266969,0.0546318289786223,23.2,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,0.34780304053078276
167,2023,Calvin Ridley,17,76,136,1016.0,8,194.0,49.0,31.327944215544356,0.2240527182866556,153.9,23.0,17.819554886343084,8.182155435819045,53.506024096385545,2024.0,17.35932879773137
166,2023,Michael Gallup,17,40,63,521.0,2,141.0,23.0,11.668258673920922,0.1006389776357827,64.10000000000001,1.75,0.5753844568711081,0.2107085811645054,2.3012048192771086,2024.0,0.7534531745897579
165,2023,Brandon Powell,13,29,44,324.0,1,104.0,18.0,-1.467711050703791,0.0938166311300639,40.1,2.0,0.7782570501590137,0.3044903088663235,2.903614457831326,2024.0,0.19980015506669901
164,2023,Trent Sherfield,10,12,25,93.0,1,53.0,5.0,-2.826519485458916,0.0712250712250712,15.3,1.79,0.607844071797173,0.2257136575967963,2.3975903614457836,2024.0,-0.10301592339324901
163,2023,Braxton Berrios,14,27,34,238.0,1,85.0,15.0,9.7921691458032,0.074398249452954,30.9,2.15,0.899980606131757,0.3607593454874144,3.265060240963856,2024.0,0.7808569558044842
162,2023,Cedrick Wilson Jr.,12,25,45,333.0,3,61.0,16.0,1.3927096510481327,0.1116625310173697,51.3,2.875,1.4883111266666833,0.632726355822687,5.012048192771085,2024.0,0.4796742340446067
161,2023,Ray-Ray McCloud,9,14,18,161.0,0,88.0,8.0,2.338299107621424,0.0700389105058365,19.1,2.5,1.1840022367348249,0.4920537642699598,4.10843373493976,2024.0,0.2601773140270529
160,2023,Courtland Sutton,16,59,90,772.0,10,156.0,37.0,22.994587154528947,0.2013422818791946,131.20000000000002,13.75,10.313268934690578,4.712231510851775,31.216867469879524,2024.0,11.996011017701885
159,2023,Keith Kirkwood,7,5,9,37.0,1,1.0,3.0,2.2577621507807635,0.0389610389610389,9.7,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,-0.09734564117541021
158,2023,Byron Pringle,12,14,22,161.0,0,31.0,7.0,1.0596630637301132,0.0466101694915254,16.1,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,0.022314390265501353
157,2023,Equanimeous St. Brown,5,5,6,62.0,0,7.0,3.0,2.9717228445224464,0.0472440944881889,6.2,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,0.3679894213391458
156,2023,Marquez Valdes-Scantling,20,29,55,443.0,2,99.0,19.0,5.850909099181537,0.0782361308677098,54.3,2.25,0.9811296434469192,0.3982720365681417,3.506024096385543,2024.0,0.5596472875760643
155,2023,River Cracraft,7,11,15,154.0,1,63.0,10.0,7.353751350194216,0.066079295154185,21.4,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,0.11557529747462546
154,2023,Josh Reynolds,19,48,78,740.0,6,209.0,39.0,17.742736281653666,0.1198156682027649,108.0,4.5,2.8069829830380697,1.2423075858845047,8.927710843373497,2024.0,8.130593568760789
153,2023,Zay Jones,9,34,64,321.0,2,51.0,14.0,-4.416608735239675,0.1833810888252149,44.1,2.25,0.9811296434469192,0.3982720365681417,3.506024096385543,2024.0,2.473625876746576
183,2023,Andy Isabella,1,0,1,0.0,0,0.0,0.0,-0.4289895859546959,0.0333333333333333,0.0,1.133,0.074694896636557,-0.0207447228035816,0.8144578313253013,2024.0,-0.22994692436005965
248,2023,Shedrick Jackson,1,0,1,0.0,0,0.0,0.0,-0.856143947923556,0.032258064516129,0.0,0.915,-0.1022100047104966,-0.102522389359567,0.2891566265060241,2024.0,-0.22994692436005965
